ID	exact.mass
C1:0	44.9977
Glyoxal	56.9982
Acetone	57.034
D-Beta-hydroxybutyrate (fragment)	59.0124
FA 2:0 (putative)	59.0133
Crotonaldehyde	69.0346
MDA	71.0133
MDA / methylglyoxal / Pyruvaldehyde	71.0139
FA 3:0 (putative)	73.029
Threonine	74.0248
Pyruvate	87.0082
DL-(iso)Butyrate / C4:0	87.0446
Alanine	88.0404
Lactate	89.0239
Hydroxypyridine	94.0298
DL-(iso)Tiglate	99.0446
Acetoacetate	100.016
DL-Methylbutyroate / C5:0	101.0603
Propanedioic acid	103.0022
D-Beta-hydroxybutyrate	103.0387
FA 4:0;O (putative)	103.0395
2-hydroxybutanoic acid / 3-hydroxybutyric acid	103.0401
Serine	104.0348
Glyceric acid	105.0188
Cytosine	110.036
DL-C5H4O3-FA	111.0082
Uracil	111.02
C6:2	111.0446
FA 6:1;O (putative)	113.0603
Maleic acid	115.0029
Fumarate	115.0037
DL-C5-oxo-FA	115.0395
C6:0	115.0759
N-Acetyl-glycine	116.0349
Valine	116.0717
Succinate	117.0186
2-Hydroxy-3-methylbutyric acid	117.056
Benzoate	121.0292
Isonicotinic acid / Nicotinic acid	122.0248
Taurine	124.008
C7:2	125.0603
2-Oxo-hexenoic acid	127.0401
DL-C7:1-FA / C7:1	127.0759
Cyanuric acid	128.0102
Pyroglutamic acid	128.0348
Pyroglutamic acid	128.036
Pipecolic acid	128.0717
Mesaconic acid	129.0193
FA 6:1;O (putative)	129.0555
C7:0	129.0916
4-Hydroxyproline	130.0499
Isoleucine / Aminocaproate	130.0874
Oxaloacetate	130.998
DL-Glutarate	131.0345
FA 6:0;O (putative)	131.0714
Aspartate	132.031
Malate	133.0143
Threonic acid	135.0306
2-Amino benzoic acid	136.0397
Anthranilate	136.0404
Salicylic acid	137.0239
3-Hydroxypicolinic acid	138.02
C8:2	139.0759
nonenal	139.1128
2,3-Methylenesuccinate / DL-C6H6O3-FA	141.0188
Hydroxymethyluracil	141.0306
DL-Octenoate / C8:1	141.0916
DL-Octanoate / C8:0	143.1072
4-Guanidinobutyric acid	144.077
2-Oxoglutaric acid	145.0142
DL-Methylglutarate	145.0501
Glutamine	145.062
Glutamate	146.0456
2-Hydroxyglutarate	147.03
trans-cinnamic acid	147.0452
Methionine	148.0438
3-Methyladenine	148.0618
Arabinose / Xylose	149.0455
Xanthine	151.026
DL-C8H8O3-FA	151.0398
Dopamine	152.0717
4-oxo-nonenal (ONE)	153.0916
Orotic acid	155.0098
C9:1 / DL-C9:1-FA / HNE	155.1072
Benzenesulfonate	156.9965
Allantoin	157.0367
FA 8:1;O (putative)	157.0865
DL-(iso)Nonanoate	157.1229
FA 9:0 (putative)	157.124
Indole-3-acetaldehyde	158.0611
2-oxoadipic acid	159.0299
DL-Pimelate	159.0661
DL-Hydroxyoctanoate	159.1021
Indole-3-carboxylic acid	160.0404
m-Coumaric acid	163.0401
Fucose	163.0612
DL-C10H12O2-FA / C10:4	163.0759
Phenylalanine	164.0717
Phenyllactate	165.0557
DL-C10H14O2-FA/ C10:3	165.0916
4-nitrobenzoic acid	166.0146
Pyridoxal	166.051
Phosphoenolpyruvic acid	166.9746
Uric acid	167.0211
Vanillic acid	167.035
DL-Decadienoate / C10:2	167.1072
Cysteic acid	167.9972
DHAP/G3P	168.9905
Gallic acid	169.0142
C9:2	169.0865
DL-Decenoate / C10:1	169.1229
Glycerol 3-phosphate	171.0059
DL-C8:1-diC-FA	171.0658
DL-C9:1-OH-FA / HNEA	171.1021
FA 10:0 (putative)	171.1385
Acetyl-leucine	172.0979
trans-aconitate	173.0089
DL-(iso-)C8-diC-FA	173.0814
4-hydroxy-nonanoic acid	173.1183
N-acetylaspartic acid	174.041
Ascorbic acid	175.024
Ascorbic acid	175.025
N-Formylmethionine	176.0382
Hippurate	178.051
Aspirin / Caffeic acid	179.035
Fructose/Glucose	179.0559
Dimethylxanthine	179.0574
Tyrosine	180.0666
hypoxanthine / 7-methyluric acid	181.0367
Hydroxyphenyllactic acid	181.0501
4-pyridoxic acid	182.0459
3-phosphoglycerate	184.9855
FA 11:0 (putative)	185.1542
Azelaic acid	187.0974
Kynurenic acid	188.0353
5-hydroxyindoleacetate	190.051
Citrate/Isocitrate	191.019
Methylhippurate	192.0666
Glucuronate / Galacturonate	193.0354
Isoferulic acid	193.0506
Gluconic acid	195.051
1,7-dimethyluric acid	195.0524
DL-Dihydroferuloate	195.0658
5-acetylamino-6-formylamino-3-methyluracil	197.068
DL-C11:2-OH-FA	197.1177
C12:1	197.1542
Erythrose-4-phosphate	199.0008
C12:0	199.1701
Citric acid	201.0208
Sebacic acid	201.1132
Dimethylallylaminopurine	202.1098
Glucuronic acid	203.0331
3,4-dimethoxycinnamic acid	207.0663
1,3,7-trimethyluric acid	209.068
Ketoprofen	209.0972
DL-C12:1-oxo-FA/DL-C12:2-OH-FA	211.1334
DL-C12-oxo-FA	213.1491
C13:0	213.1854
Glycerophosphoethanolamine	214.048
Hexose	215.033
N-Acetylarginine	215.115
Methyltryptophan	217.0983
3-HPMA	220.0644
N-Acetyl-tyrosine	222.0772
D-Glucose [M+FA-H]	225.0605
C14:1	225.1855
Phosphatidic acid	226.996
2-Deoxyuridine	227.0673
cis-resveratrol / trans-resveratrol	227.0714
DL-C12:1-diC-FA	227.1284
FA 14:0 (putative)	227.2018
Xylulose-5-phosphate	229.009
Ribulose-5-phosphate	229.0117
Dodecanedioic acid	229.1445
Methoxytryptophan	233.0932
N-Acetyl-S-(4-hydroxybutan-2-yl)-L-cysteine (HMPMA)	234.08
DL-C14:3-OH-FA	237.1491
Dihydrobiopterin	238.0946
DL-HydroxytetradecadienFA	239.1647
FA 15:0 (putative)	241.2173
Cytidine	242.0782
Uridine	243.0623
Biotin	243.0809
DL-C12-diC-oxo-FA	243.1233
Leucyl-leucine	243.1714
Glycerophosphoglycerol	245.043
3,4-dehydroinosine	247.0473
2-deoxyinosine	251.0786
C16:2	251.2011
DL-(iso-)C14:2-diC-	253.144
FA 16:1 (putative)	253.2173
DL-(iso-)C14:1-diC-	255.1597
FA 16:0 (putative)	255.2334
6-phosphogluconolactone	257.0062
DL-(iso-)C14-diC-	257.1753
G6P/F6P	259.0219
Glyceric acid 1,3-biphosphate	264.9514
tetranor 12-HETE	265.1809
FA 17:1 (putative)	267.233
Estrone	269.1547
FA 16:1;O (putative)	269.2122
FA 17:0 (putative)	269.2487
_-estradiol	271.1704
FA 16:0;O (putative)	271.228
6-phosphogluconate	275.0168
FA 18:4 (putative)	275.2017
FA 18:3 (putative)	277.2173
12-HHTrE	279.1966
FA 18:2 (putative)	279.233
FA 18:1 (putative)	281.2484
FA 18:0 (putative)	283.2637
FA 18:0 (putative)	283.2652
Kaempferol	285.0405
Estriol / 2-Hydroxyestradiol	287.1653
Sedoheptulose-7-phosphate	289.0325
9-OxoOTrE (9-KOTrE)	291.1966
Aspartame	293.1143
FA 18:3 (putative)	293.2122
Diclofenac	294.0094
17_-ethinyl estradiol	295.1704
FA 18:2 (putative)	295.2274
FA 19:1 (putative)	295.2643
C20:7	297.1854
FA 18:1;O (putative)	297.2435
FA 19:0 (putative)	297.2799
8-hydroxyguanosine	298.0793
C20:6	299.2011
FA 18:0;O (putative)	299.2592
C20:5	301.2172
C20:4	303.2328
C20:3	305.248
Glutathione (GSH)	306.0763
1,N(6)-Propanodeoxyadenosine	306.1202
C20:2	307.2637
N-Acetylneuraminic acid	308.0982
EKODE	309.2071
C20:1	309.2798
C20:0	311.2954
Octadecanedioic acid	313.2378
Isorhamnetin	315.051
15d-D12,14-PGJ2/J3	315.1966
FA 18:2 (putative)	315.209
Myricetin	317.0303
FA 20:5 (putative)	317.2122
FA 18:1 (putative)	317.225
HNE-mercapturic acid (HNE-MA)	318.1375
FA 20:4;O (putative)	319.2279
FA 18:0 (putative)	319.241
DHN-MA (reduced HNE-MA)	320.1532
FA 20:3;O (putative)	321.2435
C21:2	321.2793
11-HEDE / 15-HEDE	323.2592
C21:1	323.295
2,3 dinor 11b PGF2a / 2,3-dinor PGE1	325.202
C22:7	325.2167
C21:0	325.3106
tetranor-PGEM	327.1449
2,3-dinor-5,6-dihydro-15-F2t-IsoP (urinary product)	327.2172
C22:6	327.2327
cAMP	328.0452
9,10,13-TriHOME / 9,12,13-TriHOME	329.2333
C22:5	329.2482
C22:4	331.264
FA 20:5 (putative)	333.2071
C22:3	333.2793
S-formylglutathione	334.0714
FA 20:4 (putative)	335.2228
C22:2	335.295
S-(hydroxymethyl)glutathione	336.0871
Cyclic 1,N(2)-propanodeoxyguanosine	336.1308
FA 20:3 (putative)	337.2384
C22:1	337.3106
S-sulfanylglutathione	338.0486
Fructose 1,6-bisphosphate	338.9636
Fructose 1,6-bisphosphate	338.9888
FA 20:4 (putative)	339.209
C22:0	339.3267
Maltose	341.1089
Sucrose	341.1109
2,3-dinor-6-oxoprostaglandin F1alpha / 2,3-dinor TXB2	341.197
FA 22:6;O (putative)	343.2279
AMP	346.0561
FA 20:5 (putative)	349.202
FA 20:4 (putative)	351.2177
C23:1	351.3263
FA 20:3 (putative)	353.2334
C23:0	353.3419
PGF1a / 13,14dh-PGE1	355.249
C24:6	355.2637
Indomethacin	356.0695
C24:5	357.2793
FA 22:6 (putative)	359.2228
C24:4	359.295
dihydroxy_docosapentaenoic acid	361.2384
C24:3	361.3106
Guanosine monophosphate	362.0496
N-palmitoyl taurine	362.2371
C24:2	363.3263
20-COOH LTB4	365.197
FA 16:0 (putative)	365.246
C24:1	365.3422
Dehydroepiandrostero_ne sulfate	367.1585
FA 20:4 (putative)	367.2126
FA 22:4 (putative)	367.242
C24:0	367.3576
2_-Deoxycytidine diphosphate (dCDP) M-H20-H	367.9919
N-oleoyl-Serine	368.2806
FA 20:3 (putative)	369.2283
Oleoyl ethanolamide	370.2963
TXB1	371.2439
Lithocholenic acid	373.2748
Riboflavin	375.131
FA 22:6 (putative)	375.2177
glutathione-crotonaldehyde conjugate	376.1178
F4-neuroprostane series	377.2333
S-Lactoylglutathione	378.0976
glutathione-crotonol conjugate	378.1335
Sphingosine-1-phosphate (d18:1)	378.2415
FA 25:1 (putative)	379.357
Sphinganine-1-phosphate (d18:0)	380.2571
