ID	exact.mass	resolve_note	n_merged	source_ids	mass_min	mass_max	ppm_span
C1:0	44.9977		1	C1:0	44.9977	44.9977	0
Glyoxal	56.9982		1	Glyoxal	56.9982	56.9982	0
Acetone	57.034		1	Acetone	57.034	57.034	0
D-Beta-hydroxybutyrate (fragment)	59.0124		1	D-Beta-hydroxybutyrate (fragment)	59.0124	59.0124	0
FA 2:0 (putative)	59.0133		1	FA 2:0 (putative)	59.0133	59.0133	0
Crotonaldehyde	69.0346		1	Crotonaldehyde	69.0346	69.0346	0
MDA	71.0133		1	MDA	71.0133	71.0133	0
MDA / methylglyoxal / Pyruvaldehyde	71.0139		1	MDA / methylglyoxal / Pyruvaldehyde	71.0139	71.0139	0
FA 3:0 (putative)	73.029		1	FA 3:0 (putative)	73.029	73.029	0
Threonine	74.0248		1	Threonine	74.0248	74.0248	0
Pyruvate	87.0082		1	Pyruvate	87.0082	87.0082	0
DL-(iso)Butyrate / C4:0	87.0446		1	DL-(iso)Butyrate / C4:0	87.0446	87.0446	0
Alanine	88.0404		1	Alanine	88.0404	88.0404	0
Lactate	89.0239		1	Lactate	89.0239	89.0239	0
Hydroxypyridine	94.0298		1	Hydroxypyridine	94.0298	94.0298	0
DL-(iso)Tiglate	99.0446		1	DL-(iso)Tiglate	99.0446	99.0446	0
Acetoacetate	100.016		1	Acetoacetate	100.016	100.016	0
DL-Methylbutyroate / C5:0	101.0603		1	DL-Methylbutyroate / C5:0	101.0603	101.0603	0
Propanedioic acid	103.0022		1	Propanedioic acid	103.0022	103.0022	0
D-Beta-hydroxybutyrate	103.0387		1	D-Beta-hydroxybutyrate	103.0387	103.0387	0
FA 4:0;O (putative)	103.0395		1	FA 4:0;O (putative)	103.0395	103.0395	0
2-hydroxybutanoic acid / 3-hydroxybutyric acid	103.0401		1	2-hydroxybutanoic acid / 3-hydroxybutyric acid	103.0401	103.0401	0
Serine	104.0348		1	Serine	104.0348	104.0348	0
Glyceric acid	105.0188		1	Glyceric acid	105.0188	105.0188	0
Cytosine	110.036		1	Cytosine	110.036	110.036	0
DL-C5H4O3-FA	111.0082		1	DL-C5H4O3-FA	111.0082	111.0082	0
Uracil	111.02		1	Uracil	111.02	111.02	0
C6:2	111.0446		1	C6:2	111.0446	111.0446	0
FA 6:1;O (putative)	113.0603		1	FA 6:1;O (putative)	113.0603	113.0603	0
Maleic acid	115.0029		1	Maleic acid	115.0029	115.0029	0
Fumarate	115.0037		1	Fumarate	115.0037	115.0037	0
DL-C5-oxo-FA	115.0395		1	DL-C5-oxo-FA	115.0395	115.0395	0
C6:0	115.0759		1	C6:0	115.0759	115.0759	0
N-Acetyl-glycine	116.0349		1	N-Acetyl-glycine	116.0349	116.0349	0
Valine	116.0717		1	Valine	116.0717	116.0717	0
Succinate	117.0186		1	Succinate	117.0186	117.0186	0
2-Hydroxy-3-methylbutyric acid	117.056		1	2-Hydroxy-3-methylbutyric acid	117.056	117.056	0
Benzoate	121.0292		2	DL-Benzoate | Benzoate	121.0289	121.0295	4.9575
Isonicotinic acid / Nicotinic acid	122.0248		1	Isonicotinic acid / Nicotinic acid	122.0248	122.0248	0
Taurine	124.008		1	Taurine	124.008	124.008	0
C7:2	125.0603		1	C7:2	125.0603	125.0603	0
2-Oxo-hexenoic acid	127.0401		1	2-Oxo-hexenoic acid	127.0401	127.0401	0
DL-C7:1-FA / C7:1	127.0759		1	DL-C7:1-FA / C7:1	127.0759	127.0759	0
Cyanuric acid	128.0102		1	Cyanuric acid	128.0102	128.0102	0
Pyroglutamic acid	128.0348		1	Pyroglutamic acid	128.0348	128.0348	0
Pyroglutamic acid	128.036		1	Pyroglutamic acid	128.036	128.036	0
Pipecolic acid	128.0717		1	Pipecolic acid	128.0717	128.0717	0
Mesaconic acid	129.0193		1	Mesaconic acid	129.0193	129.0193	0
FA 6:1;O (putative)	129.0555		2	FA 6:1;O (putative) | 3-Methyl-2-oxovaleric acid	129.0552	129.0557	3.8743
C7:0	129.0916		1	C7:0	129.0916	129.0916	0
4-Hydroxyproline	130.0499		1	4-Hydroxyproline	130.0499	130.0499	0
Isoleucine / Aminocaproate	130.0874		1	Isoleucine / Aminocaproate	130.0874	130.0874	0
Oxaloacetate	130.998		1	Oxaloacetate	130.998	130.998	0
DL-Glutarate	131.0345		1	DL-Glutarate	131.0345	131.0345	0
FA 6:0;O (putative)	131.0714		1	FA 6:0;O (putative)	131.0714	131.0714	0
Aspartate	132.031		1	Aspartate	132.031	132.031	0
Malate	133.0143		1	Malate	133.0143	133.0143	0
Threonic acid	135.0306		1	Threonic acid	135.0306	135.0306	0
2-Amino benzoic acid	136.0397		1	2-Amino benzoic acid	136.0397	136.0397	0
Anthranilate	136.0404		1	Anthranilate	136.0404	136.0404	0
Salicylic acid	137.0239		1	Salicylic acid	137.0239	137.0239	0
3-Hydroxypicolinic acid	138.02		1	3-Hydroxypicolinic acid	138.02	138.02	0
C8:2	139.0759		1	C8:2	139.0759	139.0759	0
nonenal	139.1128		1	nonenal	139.1128	139.1128	0
2,3-Methylenesuccinate / DL-C6H6O3-FA	141.0188		1	2,3-Methylenesuccinate / DL-C6H6O3-FA	141.0188	141.0188	0
Hydroxymethyluracil	141.0306		1	Hydroxymethyluracil	141.0306	141.0306	0
DL-Octenoate / C8:1	141.0916		1	DL-Octenoate / C8:1	141.0916	141.0916	0
DL-Octanoate / C8:0	143.1072		1	DL-Octanoate / C8:0	143.1072	143.1072	0
4-Guanidinobutyric acid	144.077		1	4-Guanidinobutyric acid	144.077	144.077	0
2-Oxoglutaric acid	145.0142		2	2-Oxoglutaric acid | Alpha-ketoglutarate	145.014	145.0143	2.0688
DL-Methylglutarate	145.0501		1	DL-Methylglutarate	145.0501	145.0501	0
Glutamine	145.062		1	Glutamine	145.062	145.062	0
Glutamate	146.0456		2	Glutamate | Glutamic acid / N-methyl-D-aspartic acid / O-acetylserine	146.0454	146.0459	3.4236
2-Hydroxyglutarate	147.03		1	2-Hydroxyglutarate	147.03	147.03	0
trans-cinnamic acid	147.0452		1	trans-cinnamic acid	147.0452	147.0452	0
Methionine	148.0438		1	Methionine	148.0438	148.0438	0
3-Methyladenine	148.0618		1	3-Methyladenine	148.0618	148.0618	0
Arabinose / Xylose	149.0455		1	Arabinose / Xylose	149.0455	149.0455	0
Xanthine	151.026		1	Xanthine	151.026	151.026	0
DL-C8H8O3-FA	151.0398		2	DL-C8H8O3-FA | Hydroxyphenylacetate / Mandelic acid / Methyl salicylate	151.0395	151.0401	3.9725
Dopamine	152.0717		1	Dopamine	152.0717	152.0717	0
4-oxo-nonenal (ONE)	153.0916		1	4-oxo-nonenal (ONE)	153.0916	153.0916	0
Orotic acid	155.0098		1	Orotic acid	155.0098	155.0098	0
C9:1 / DL-C9:1-FA / HNE	155.1072		1	C9:1 / DL-C9:1-FA / HNE	155.1072	155.1072	0
Benzenesulfonate	156.9965		1	Benzenesulfonate	156.9965	156.9965	0
Allantoin	157.0367		1	Allantoin	157.0367	157.0367	0
FA 8:1;O (putative)	157.0865		1	FA 8:1;O (putative)	157.0865	157.0865	0
DL-(iso)Nonanoate	157.1229		1	DL-(iso)Nonanoate	157.1229	157.1229	0
FA 9:0 (putative)	157.124		1	FA 9:0 (putative)	157.124	157.124	0
Indole-3-acetaldehyde	158.0611		1	Indole-3-acetaldehyde	158.0611	158.0611	0
2-oxoadipic acid	159.0299		1	2-oxoadipic acid	159.0299	159.0299	0
DL-Pimelate	159.0661		2	DL-Pimelate | 3-methyladipic acid	159.0658	159.0663	3.1433
DL-Hydroxyoctanoate	159.1021		1	DL-Hydroxyoctanoate	159.1021	159.1021	0
Indole-3-carboxylic acid	160.0404		1	Indole-3-carboxylic acid	160.0404	160.0404	0
m-Coumaric acid	163.0401		1	m-Coumaric acid	163.0401	163.0401	0
Fucose	163.0612		1	Fucose	163.0612	163.0612	0
DL-C10H12O2-FA / C10:4	163.0759		1	DL-C10H12O2-FA / C10:4	163.0759	163.0759	0
Phenylalanine	164.0717		1	Phenylalanine	164.0717	164.0717	0
Phenyllactate	165.0557		1	Phenyllactate	165.0557	165.0557	0
DL-C10H14O2-FA/ C10:3	165.0916		1	DL-C10H14O2-FA/ C10:3	165.0916	165.0916	0
4-nitrobenzoic acid	166.0146		1	4-nitrobenzoic acid	166.0146	166.0146	0
Pyridoxal	166.051		1	Pyridoxal	166.051	166.051	0
Phosphoenolpyruvic acid	166.9746		1	Phosphoenolpyruvic acid	166.9746	166.9746	0
Uric acid	167.0211		1	Uric acid	167.0211	167.0211	0
Vanillic acid	167.035		1	Vanillic acid	167.035	167.035	0
DL-Decadienoate / C10:2	167.1072		1	DL-Decadienoate / C10:2	167.1072	167.1072	0
Cysteic acid	167.9972		1	Cysteic acid	167.9972	167.9972	0
DHAP/G3P	168.9905		2	Glyceraldehyde-3-phosphate | DHAP/G3P	168.9902	168.9909	4.1422
Gallic acid	169.0142		1	Gallic acid	169.0142	169.0142	0
C9:2	169.0865		1	C9:2	169.0865	169.0865	0
DL-Decenoate / C10:1	169.1229		1	DL-Decenoate / C10:1	169.1229	169.1229	0
Glycerol 3-phosphate	171.0059		1	Glycerol 3-phosphate	171.0059	171.0059	0
DL-C8:1-diC-FA	171.0658		1	DL-C8:1-diC-FA	171.0658	171.0658	0
DL-C9:1-OH-FA / HNEA	171.1021		1	DL-C9:1-OH-FA / HNEA	171.1021	171.1021	0
FA 10:0 (putative)	171.1385		1	FA 10:0 (putative)	171.1385	171.1385	0
Acetyl-leucine	172.0979		1	Acetyl-leucine	172.0979	172.0979	0
trans-aconitate	173.0089		2	Cis-aconitate / cis-Aconitic acid | trans-aconitate	173.0086	173.0092	3.468
DL-(iso-)C8-diC-FA	173.0814		1	DL-(iso-)C8-diC-FA	173.0814	173.0814	0
4-hydroxy-nonanoic acid	173.1183		1	4-hydroxy-nonanoic acid	173.1183	173.1183	0
N-acetylaspartic acid	174.041		1	N-acetylaspartic acid	174.041	174.041	0
Ascorbic acid	175.024		1	Ascorbic acid	175.024	175.024	0
Ascorbic acid	175.025		1	Ascorbic acid	175.025	175.025	0
N-Formylmethionine	176.0382		1	N-Formylmethionine	176.0382	176.0382	0
Hippurate	178.051		1	Hippurate	178.051	178.051	0
Aspirin / Caffeic acid	179.035		1	Aspirin / Caffeic acid	179.035	179.035	0
Fructose/Glucose	179.0559		1	Fructose/Glucose	179.0559	179.0559	0
Dimethylxanthine	179.0574		1	Dimethylxanthine	179.0574	179.0574	0
Tyrosine	180.0666		1	Tyrosine	180.0666	180.0666	0
hypoxanthine / 7-methyluric acid	181.0367		1	hypoxanthine / 7-methyluric acid	181.0367	181.0367	0
Hydroxyphenyllactic acid	181.0501		1	Hydroxyphenyllactic acid	181.0501	181.0501	0
4-pyridoxic acid	182.0459		1	4-pyridoxic acid	182.0459	182.0459	0
3-phosphoglycerate	184.9855		2	3-Phosphoglyceric acid/2-Phosphoglyceric acid | 3-phosphoglycerate	184.9852	184.9857	2.7029
