ID	exact.mass
Homoserine	55.0189
glyoxal	59.0128
Crotonaldehyde	71.0491
methylglyoxal	73.0284
Glycine	76.0393
Glycine	76.0398
2-Mercaptoethanol	79.0212
Pyruvate	89.0233
Alanine	90.055
Alanine	90.0556
Lactate	91.039
Glycerol	93.0546
Serine	106.0499
Creatinine	114.0659
Caprolactam	114.0914
Proline	116.0706
Guanidoacetic acid	118.0616
Valine	118.0868
Succinate	119.0339
Threonine	120.0654
Cysteine	122.027
Nicotinamide	123.0553
Taurine	126.0219
5-Methylcytosine	126.0662
Thymine	127.0502
Pipecolinic acid	130.0863
Aspartic acid	132.0302
Creatine	132.0768
Isoleucine/Leucine	132.1019
Oxaloacetate	133.0132
Asparagine	133.0608
Aspartate	134.0448
Malate	135.0288
Allopurinol/Hypoxanthine	137.0458
Trigonelline	138.055
2-Hydroxyquinoline	146.06
Alpha-ketoglutarate	147.0288
Glutamine	147.0764
Lysine	147.1128
Glutamate	148.0607
Methionine	150.0583
Dopamine	154.0863
Histidine	156.0768
2-Aminoadipic acid	162.0761
Carnitine	162.1125
Phenylalanine	166.0863
N-acetylaspartate	174.0402
cis-Aconitate	175.0237
Arginine	175.119
Indole-3-acetic acid	176.0706
Citrulline	176.103
Acylcarnitine C1	176.1281
Hippuric acid	180.0655
Glucosamine	180.0872
Tyrosine	182.0815
Diaminopimelic acid	191.1032
5-Hydroxyindole-3-acetic acid	192.0655
Citrate/Isocitrate	193.0343
Hydroxyhippuric acid	196.0604
Acylcarnitine C2:0	204.123
Tryptophan	205.0972
N-Acetyl-phenylalanine	208.0968
Acylcarnitine C10:2-Cysteine	217.122
Acylcarnitine C3:0	218.1387
3-HPMA	222.08
N-Acetyl-glucosamine	222.0972
Acylcarnitine C4:1	230.1387
Acylcarnitine C4:0	232.1543
Melatonin	233.1285
N-Acetyl-S-(4-hydroxybutan-2-yl)-L-cysteine (HMPMA)	236.0957
Acylcarnitine C3:0+H2O	236.1492
Cystine	241.0311
Thymidine	243.0975
Cytidine	244.0928
Acylcarnitine C5:1	244.1543
Acylcarnitine C5:0	246.17
Acylcarnitine C3:1-2OH	248.1129
Acylcarnitine C4:0-OH	248.1492
Acylcarnitine C14:3-OH-Cysteine	252.1429
Acylcarnitine C5:3-OH	256.1179
Acylcarnitine C16:4-Cysteine	257.1533
Acylcarnitine C6:1	258.17
5-Methyluridine	259.0925
Acylcarnitine C5:1-OH	260.1492
Acylcarnitine C6:0	260.1856
Acylcarnitine C4:1-2OH	262.1285
Acylcarnitine C5:0-OH	262.1649
Acylcarnitine C7:4	266.1386
Adenosine	268.104
Inosine	269.088
Acylcarnitine C7:2	270.17
Acylcarnitine C7:1	272.1856
Acylcarnitine C6:1-OH	274.1649
Acylcarnitine C7:0	274.2013
Acylcarnitine C5:1-2OH	276.1442
Acylcarnitine C6:0-OH	276.1805
Acylcarnitine C8:4	280.1543
Oleic Acid	281.2481
Guanosine	284.0989
Acylcarnitine C8:2	284.1856
Acylcarnitine C6:3-2OH	286.1285
Acylcarnitine C8:1	286.2013
Acylcarnitine C6:2-2OH	288.1442
Acylcarnitine C7:1-OH	288.1805
Acylcarnitine C8:0	288.2169
Acylcarnitine C6:1-2OH	290.1598
Acylcarnitine C7:0-OH	290.1962
Argininosuccinic acid	291.1299
Acylcarnitine C6:0-SH	292.1577
Acylcarnitine C9:4	294.17
Acylcarnitine C8:4-OH	296.1492
Acylcarnitine C8:3-OH	298.1649
Acylcarnitine C9:2	298.2013
Acylcarnitine C6:4-3OH	300.1078
