ID	exact.mass	resolve_note	n_merged	source_ids	mass_min	mass_max	ppm_span
Homoserine	55.0189		1	Homoserine	55.0189	55.0189	0
glyoxal	59.0128		1	glyoxal	59.0128	59.0128	0
Crotonaldehyde	71.0491		1	Crotonaldehyde	71.0491	71.0491	0
methylglyoxal	73.0284		1	methylglyoxal	73.0284	73.0284	0
Glycine	76.0393		1	Glycine	76.0393	76.0393	0
Glycine	76.0398		1	Glycine	76.0398	76.0398	0
2-Mercaptoethanol	79.0212		1	2-Mercaptoethanol	79.0212	79.0212	0
Pyruvate	89.0233		1	Pyruvate	89.0233	89.0233	0
Alanine	90.055		1	Alanine	90.055	90.055	0
Alanine	90.0556		1	Alanine	90.0556	90.0556	0
Lactate	91.039		1	Lactate	91.039	91.039	0
Glycerol	93.0546		1	Glycerol	93.0546	93.0546	0
Serine	106.0499		1	Serine	106.0499	106.0499	0
Creatinine	114.0659		1	Creatinine	114.0659	114.0659	0
Caprolactam	114.0914		1	Caprolactam	114.0914	114.0914	0
Proline	116.0706		1	Proline	116.0706	116.0706	0
Guanidoacetic acid	118.0616		1	Guanidoacetic acid	118.0616	118.0616	0
Valine	118.0868		3	Valine | Betaine	118.0863	118.0869	5.081
Succinate	119.0339		1	Succinate	119.0339	119.0339	0
Threonine	120.0654		1	Threonine	120.0654	120.0654	0
Cysteine	122.027		1	Cysteine	122.027	122.027	0
Nicotinamide	123.0553		1	Nicotinamide	123.0553	123.0553	0
Taurine	126.0219		1	Taurine	126.0219	126.0219	0
5-Methylcytosine	126.0662		1	5-Methylcytosine	126.0662	126.0662	0
Thymine	127.0502		1	Thymine	127.0502	127.0502	0
Pipecolinic acid	130.0863		1	Pipecolinic acid	130.0863	130.0863	0
Aspartic acid	132.0302		1	Aspartic acid	132.0302	132.0302	0
Creatine	132.0768		1	Creatine	132.0768	132.0768	0
Isoleucine/Leucine	132.1019		1	Isoleucine/Leucine	132.1019	132.1019	0
