Spot	Plate	Rat ID	Treatment	Tumor Type	Replicate	xstart	xend	ystart	yend
A1	07282025_Dan_N1_LDHi_R587_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R587	Sham	Target	1	0	170	0	500
A2	07282025_Dan_N1_LDHi_R587_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R587	Embo	Target	1	170	380	0	500
A3	07282025_Dan_N1_LDHi_R587_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R587	Embo_LDHi	Non-Target	1	380	650	0	500
A4	07282025_Dan_N1_LDHi_R587_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R587	Embo_LDHi	Target	1	650	805	0	500
A1	07302025_Dan_N1_LDHi_R602_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R602	Sham	Target	2	0	170	0	500
A2	07302025_Dan_N1_LDHi_R602_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R602	Embo	Target	2	170	380	0	500
A3	07302025_Dan_N1_LDHi_R602_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R602	Embo_LDHi	Non-Target	2	380	650	0	500
A4	07302025_Dan_N1_LDHi_R602_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R602	Embo_LDHi	Target	2	650	1000	0	500
A1	07312025_Dan_N1_LDHi_R600_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R600	Sham	Target	3	0	170	0	500
A2	07312025_Dan_N1_LDHi_R600_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R600	Embo	Target	3	170	380	0	500
A3	07312025_Dan_N1_LDHi_R600_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R600	Embo_LDHi	Non-Target	3	380	650	0	500
A4	07312025_Dan_N1_LDHi_R600_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R600	Embo_LDHi	Target	3	650	900	0	500
A1	08012025_Dan_N1_LDHi_R607_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R607	Sham	Target	4	0	170	0	500
A2	08012025_Dan_N1_LDHi_R607_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R607	Embo	Target	4	170	380	0	500
A3	08012025_Dan_N1_LDHi_R607_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R607	LDHi	Non-Target	1	380	650	0	500
A4	08012025_Dan_N1_LDHi_R607_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R607	LDHi	Target	1	650	805	0	500
A1	08042025_Dan_N1_LDHi_R606_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R606	Sham	Target	5	0	170	0	500
A2	08042025_Dan_N1_LDHi_R606_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R606	Embo	Target	5	170	380	0	500
A3	08042025_Dan_N1_LDHi_R606_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R606	LDHi	Non-Target	2	380	650	0	500
A1	08052025_Dan_N1_LDHi_R604_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R604	Sham	Target	6	0	170	0	500
A2	08052025_Dan_N1_LDHi_R604_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R604	Embo	Target	6	170	380	0	500
A3	08052025_Dan_N1_LDHi_R604_50um_200rast_50HTL_150RF_2uLmin_mz50_1200_Slide_B_Analyte 1AFAMM	R604	LDHi	Non-Target	3	380	650	0	500
